Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Dandenong,Dandenong  Australia,"584,300","(-37.985605, 145.2121610759906)",29.008376852346434
Eynesbury,Eynesbury  Australia,"577,700","(-37.7908381, 144.5561657)",35.93680773978129
Westmeadows,Westmeadows  Australia,"577,000","(-37.6768765, 144.8939017)",16.420462754007016
Epping,Epping  Australia,"575,100","(-37.652246250000005, 145.03106034704467)",18.947614767423172
Sunbury,Sunbury  Australia,"569,900","(-37.553405, 144.71347879310343)",36.37340941233797
Hallam,Hallam  Australia,"567,300","(-38.0178749, 145.2701904)",35.21171754466751
Truganina,Truganina  Australia,"563,400","(-37.8089015, 144.721139)",21.319810354929547
Deer Park,Deer Park  Australia,"561,900","(-37.7686602, 144.7713077)",17.63885081807761
Wollert,Wollert  Australia,"559,000","(-37.5939889, 145.0337333)",25.22318498423397
Mickleham,Mickleham  Australia,"555,200","(-37.5616549, 144.8773339)",29.03627921527124
Tarneit,Tarneit  Australia,"551,000","(-37.83833625, 144.70385573568504)",22.985437971734
Hoppers Crossing,Hoppers Crossing  Australia,"550,900","(-37.88325, 144.7011019)",24.303871811602193
Roxburgh Park,Roxburgh Park  Australia,"549,300","(-37.6376918, 144.9355238)",19.743735101784523
Jacana,Jacana  Australia,"545,000","(-37.6951482, 144.9158281)",13.858358812661654
Kalkallo,Kalkallo  Australia,"544,900","(-37.5309523, 144.9496539)",31.462271233016647
Carrum Downs,Carrum Downs  Australia,"542,600","(-38.0927904, 145.1758001)",36.12925708513449
Laverton,Laverton  Australia,"542,600","(-37.8637978, 144.7723486)",17.67461227269203
Werribee,Werribee  Australia,"536,600","(-37.9078479, 144.64209691445848)",30.103659763494214
Eumemmerring,Eumemmerring  Australia,"529,700","(-37.9985273, 145.2469497)",32.270447539575514
Delahey,Delahey  Australia,"528,900","(-37.7198138, 144.7773228)",19.439685329170914
Craigieburn,Craigieburn  Australia,"525,200","(-37.6022837, 144.9430805)",23.589296544933
Campbellfield,Campbellfield  Australia,"514,000","(-37.6641298, 144.959583)",16.661461794146568
Diggers Rest,Diggers Rest  Australia,"512,600","(-37.6275995, 144.7200075)",29.809215215934838
Rockbank,Rockbank  Australia,"510,700","(-37.7312767, 144.6607316)",28.19032309792125
Albanvale,Albanvale  Australia,"509,700","(-37.7460824, 144.7685623)",18.736921149376396
Hampton Park,Hampton Park  Australia,"508,400","(-38.0367368, 145.2590312)",35.87069032002033
Broadmeadows,Broadmeadows  Australia,"497,900","(-37.682938750000005, 144.91957535173304)",15.068686683986865
Meadow Heights,Meadow Heights  Australia,"481,100","(-37.6511668, 144.9185521)",18.519525984531835
Wyndham Vale,Wyndham Vale  Australia,"480,900","(-37.8722432, 144.6084185)",31.881384459978328
Doveton,Doveton  Australia,"471,600","(-37.9887542, 145.2385975)",31.018196900805965
Kurunjang,Kurunjang  Australia,"464,600","(-37.6626777, 144.5914403)",36.82968547785472
Melton West,Melton West  Australia,"454,100","(-37.6798651, 144.5528895)",39.112736196302684
Coolaroo,Coolaroo  Australia,"444,100","(-37.6612736, 144.9260115)",17.288420761743595
Frankston North,Frankston North  Australia,"430,800","(-38.1228524, 145.1609788)",38.414789777111565
Melton South,Melton South  Australia,"422,600","(-37.7060279, 144.5717723)",36.51897918062835
Melton,Melton  Australia,"416,400","(-37.7068658, 144.5454255199667)",38.69008118249874
Stony Creek,Stony Creek  Australia,"330,000","(-37.805577, 144.8629013)",8.880658490569031
