Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Richmond,Richmond  Australia,"1,331,300","(-37.8203955, 145.0025153)",3.532353962141858
Blackburn,Blackburn  Australia,"1,329,600","(-37.82008355, 145.15002117835627)",16.465948502871694
Essendon,Essendon  Australia,"1,328,500","(-37.755962999999994, 144.91617790401142)",7.6769214073285985
Northcote,Northcote  Australia,"1,320,900","(-37.77308, 145.01032454775785)",6.172885530361909
Aspendale,Aspendale  Australia,"1,312,900","(-38.0272365, 145.1021263)",26.614635855425426
Murrumbeena,Murrumbeena  Australia,"1,307,300","(-37.8901845, 145.067335)",12.456004474762645
St Kilda East,St Kilda East  Australia,"1,302,300","(-37.8668218, 145.0021657)",6.773347665374067
Sherbrooke,Sherbrooke  Australia,"1,299,300","(-37.8884448, 145.3593565)",35.82904248790928
Narre Warren North,Narre Warren North  Australia,"1,298,600","(-38.001964799999996, 145.29460057822536)",35.830624068341606
Moonee Ponds,Moonee Ponds  Australia,"1,292,600","(-37.765575, 144.9212864)",6.5385858297555535
Panton Hill,Panton Hill  Australia,"1,288,000","(-37.642995, 145.2466058759542)",31.392934599245358
Mount Waverley,Mount Waverley  Australia,"1,286,600","(-37.8752637, 145.1281258)",16.02292760224664
Box Hill South,Box Hill South  Australia,"1,283,800","(-37.8366236, 145.1233644)",14.321937313801465
Preston West,Preston West  Australia,"1,283,600","(-37.721400349999996, 145.0099893570872)",11.09750779423807
St Kilda,St Kilda  Australia,"1,245,700","(-37.8638261, 144.981637)",5.741380558783921
Carlton,Carlton  Australia,"1,235,900","(-37.8004228, 144.9684343)",1.6000006479086166
Donvale,Donvale  Australia,"1,235,200","(-37.7898094, 145.1914915)",20.290312024405946
Mont Albert North,Mont Albert North  Australia,"1,233,800","(-37.8033152, 145.1107226)",13.050521332457581
Carnegie,Carnegie  Australia,"1,227,900","(-37.886029, 145.0581271)",11.549369060291436
Bulleen,Bulleen  Australia,"1,219,000","(-37.7663109, 145.12128101475844)",14.908052643500922
Balaclava,Balaclava  Australia,"1,217,500","(-37.86992145, 144.99342786739248)",6.732319394064995
Harkaway,Harkaway  Australia,"1,208,000","(-38.0002695, 145.3416887)",39.173961457008296
Caulfield East,Caulfield East  Australia,"1,205,000","(-37.881276, 145.0420847)",10.180929348152587
Doncaster,Doncaster  Australia,"1,202,000","(-37.7848299, 145.1238431)",14.52250299035236
Warrandyte,Warrandyte  Australia,"1,201,200","(-37.7585968, 145.22762818933018)",24.100137312437724
Oaklands Junction,Oaklands Junction  Australia,"1,198,300","(-37.591689099999996, 144.84126846154237)",26.936332720219546
Glen Huntly,Glen Huntly  Australia,"1,191,600","(-37.8923791, 145.0413689)",11.074161571439555
Box Hill North,Box Hill North  Australia,"1,190,800","(-37.8056831, 145.1295748)",14.684774161987553
Strathmore,Strathmore  Australia,"1,190,800","(-37.74361, 144.9273552)",8.447880061325629
Wheelers Hill,Wheelers Hill  Australia,"1,187,400","(-37.9103266, 145.1895175)",22.59525600610231
Clayton,Clayton  Australia,"1,186,000","(-37.9173212, 145.1304242)",18.64345569017611
West Melbourne,West Melbourne  Australia,"1,184,600","(-37.81044755, 144.92042979350134)",3.785909884627761
Doncaster East,Doncaster East  Australia,"1,183,400","(-37.7788744, 145.1638815)",18.10839264957575
Vermont South,Vermont South  Australia,"1,181,700","(-37.854386, 145.1878065)",20.271843458882348
Thornbury,Thornbury  Australia,"1,180,700","(-37.7550276, 144.9986139)",7.2741607821558425
Bentleigh East,Bentleigh East  Australia,"1,169,200","(-37.9220201, 145.0665529)",15.031117217526743
Waterways,Waterways  Australia,"1,161,200","(-38.0147783, 145.1305166)",26.6857784812963
Highett,Highett  Australia,"1,160,500","(-37.9484438, 145.04188)",16.429213981181952
Essendon West,Essendon West  Australia,"1,156,400","(-37.75464, 144.88344171862508)",9.645773576619083
Hampton East,Hampton East  Australia,"1,154,700","(-37.9385409, 145.0306726)",15.023194165966382
Templestowe Lower,Templestowe Lower  Australia,"1,152,000","(-37.7638749, 145.1122762)",14.273739689583476
Parkdale,Parkdale  Australia,"1,149,100","(-37.9931563, 145.0763703)",22.21710314233742
Ascot Vale,Ascot Vale  Australia,"1,145,900","(-37.775316, 144.921849)",5.646481994438069
North Melbourne,North Melbourne  Australia,"1,144,400","(-37.8076092, 144.9423514)",1.9737725112222608
Oakleigh,Oakleigh  Australia,"1,139,900","(-37.9066691, 145.11125843922275)",16.587418216150297
Essendon North,Essendon North  Australia,"1,139,000","(-37.7384762, 144.9012027)",10.023325740442962
Collingwood,Collingwood  Australia,"1,125,400","(-37.802104, 144.9881387)",2.577957335287958
Hughesdale,Hughesdale  Australia,"1,120,000","(-37.894291, 145.0764309)",13.355154244125226
Ashwood,Ashwood  Australia,"1,118,000","(-37.866672, 145.1022346)",13.55558223340224
Blackburn South,Blackburn South  Australia,"1,111,400","(-37.8388322, 145.1487848)",16.568937139227778
Docklands,Docklands  Australia,"1,110,000","(-37.8175423, 144.9394923)",2.116467916544062
Seaholme,Seaholme  Australia,"1,101,600","(-37.8677992, 144.8410816)",12.281599704823579
Brunswick East,Brunswick East  Australia,"1,097,100","(-37.7688802, 144.9776825)",5.192128928915204
Blackburn North,Blackburn North  Australia,"1,090,100","(-37.8053801, 145.154324)",16.862158536221106
Brunswick,Brunswick  Australia,"1,089,800","(-37.7664715, 144.9613103)",5.301965664833015
Lysterfield,Lysterfield  Australia,"1,076,000","(-37.9348771, 145.3017588)",32.662365292521876
Burwood East,Burwood East  Australia,"1,073,500","(-37.8535935, 145.150423)",17.05423840502992
Cottles Bridge,Cottles Bridge  Australia,"1,072,300","(-37.6234258, 145.2175327)",30.844883844429198
Moorabbin,Moorabbin  Australia,"1,068,600","(-37.9343919, 145.0368952)",14.832546723633506
Research,Research  Australia,"1,060,700","(-37.7066557, 145.189067)",23.211785415012354
