Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Hawthorn East,"(-37.8313785, 145.0499797)",7.877574069194886,"2,135,200",Cafe,Pool,Train Station,Grocery Store,Fruit & Vegetable Store,Fast Food Restaurant,Fish & Chips Shop,Filipino Restaurant,Event Space,Falafel Restaurant
South Yarra,"(-37.8377695, 144.9918537)",3.635210911433735,"2,095,300",Cafe,Park,Pharmacy,Thai Restaurant,Kebab Restaurant,Bakery,Liquor Store,Pizza Place,Sandwich Place,Fast Food Restaurant
Kew,"(-37.8033586, 145.0333285)",6.295422296313269,"2,077,800",Beach,Cafe,Supermarket,Gas Station,Train Station,Pharmacy,Mexican Restaurant,Fish & Chips Shop,Flea Market,Food & Drink Shop
Balwyn,"(-37.8091737, 145.0833678)",10.599810277485034,"2,049,800",Bakery,Pharmacy,Grocery Store,Fast Food Restaurant,Sandwich Place,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Hawthorn,"(-37.8244246, 145.0317207)",6.141917963258117,"1,996,900",Restaurant,Park,Hotel,Motel,Fish & Chips Shop,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Camberwell,"(-37.8384623, 145.0740767)",10.128948327698085,"1,990,100",Supermarket,Home Service,Bakery,Fast Food Restaurant,Cafe,Other Great Outdoors,Event Space,Falafel Restaurant,Farm,Farmers Market
Surrey Hills,"(-37.8241183, 145.0986212)",11.977493200415127,"1,921,300",Cafe,Breakfast Spot,Pub,Vietnamese Restaurant,Pizza Place,Bar,Vegetarian / Vegan Restaurant,Taco Place,Turkish Restaurant,Park
Glen Iris,"(-37.855814, 145.0646117)",10.053443813362872,"1,908,100",Cafe,Park,Bakery,Gym / Fitness Center,Malay Restaurant,Grocery Store,Light Rail Station,Pharmacy,Japanese Restaurant,Movie Theater
Ivanhoe East,"(-37.7733903, 145.0617815)",9.797268167055867,"1,870,800",Asian Restaurant,Supermarket,Cafe,Coffee Shop,Sandwich Place,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Balwyn North,"(-37.7919518, 145.0842372)",10.945458098036394,"1,807,500",Arts & Crafts Store,Gas Station,Park,Paper / Office Supplies Store,Fast Food Restaurant,Sandwich Place,Electronics Store,Sporting Goods Shop,Flea Market,Farmers Market
Elsternwick,"(-37.8858425, 145.0070152)",8.837312748007962,"1,795,900",Cafe,Grocery Store,Park,Chinese Restaurant,Breakfast Spot,Australian Restaurant,Sports Club,Food & Drink Shop,Seafood Restaurant,Thai Restaurant
St Kilda West,"(-37.8579958, 144.9712452)",4.910927019595789,"1,777,700",Cafe,Train Station,Other Great Outdoors,Bookstore,Sandwich Place,Restaurant,Italian Restaurant,Pub,Fried Chicken Joint,Movie Theater
Caulfield North,"(-37.870828, 145.0218005)",8.131521517495923,"1,719,100",Bakery,Gun Range,Campground,Playground,Coffee Shop,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market
Kew East,"(-37.7904215, 145.0527906)",8.323647111761039,"1,707,100",Farm,Zoo Exhibit,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Hampton,"(-37.9381127, 145.0014764)",14.158777184362126,"1,690,500",Bus Station,Zoo Exhibit,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Elwood,"(-37.8788568, 144.9855487)",7.440210722372599,"1,678,800",Cafe,Train Station,Thai Restaurant,Malay Restaurant,Bakery,Pub,Supermarket,Pizza Place,Train,Bagel Shop
Park Orchards,"(-37.7769195, 145.2146209)",22.531107529516905,"1,657,600",Cafe,Grocery Store,Bakery,Pub,Pharmacy,Seafood Restaurant,Dog Run,Gym / Fitness Center,Japanese Restaurant,Cosmetics Shop
Eaglemont,"(-37.7638101, 145.0537229)",9.743476539237358,"1,640,400",Restaurant,Pub,Mountain,Brewery,Cretan Restaurant,Fishing Spot,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Box Hill,"(-37.8137032, 145.123805125)",14.145470261327679,"1,634,600",Cafe,Train Station,Park,Sushi Restaurant,Furniture / Home Store,Gym / Fitness Center,Sandwich Place,Liquor Store,Grocery Store,Shopping Mall
Melbourne,"(-37.8142176, 144.9631608)",0.0,"1,627,800",Pizza Place,Cafe,Supermarket,Gas Station,Grocery Store,Basketball Court,Gym,Seafood Restaurant,Park,Shopping Mall
Malvern East,"(-37.876835, 145.0658739)",11.403232692489214,"1,620,500",Cafe,Thai Restaurant,Fast Food Restaurant,Grocery Store,Bookstore,Dumpling Restaurant,Seafood Restaurant,Chinese Restaurant,Sandwich Place,Video Store
Brighton East,"(-37.9171728, 145.0163663)",12.349236695875792,"1,610,900",Restaurant,Basketball Court,Train Station,Beach,Golf Course,Deli / Bodega,Cafe,Zoo Exhibit,Filipino Restaurant,Falafel Restaurant
Fitzroy,"(-37.8010382, 144.9792611)",2.037164438584706,"1,593,600",Gym,Grocery Store,Sandwich Place,Supermarket,Movie Theater,Bowling Alley,Cafe,Fast Food Restaurant,Shopping Mall,Basketball Stadium
Mont Albert,"(-37.819535, 145.1055334)",12.549851622627942,"1,568,700",Chinese Restaurant,Asian Restaurant,Cafe,Dumpling Restaurant,Korean Restaurant,Vietnamese Restaurant,Bubble Tea Shop,Supermarket,Szechuan Restaurant,Bakery
Caulfield,"(-37.882265000000004, 145.02246283740942)",9.180789055326759,"1,565,300",Italian Restaurant,Dance Studio,Middle Eastern Restaurant,Cafe,Plaza,Zoo Exhibit,Fish & Chips Shop,Falafel Restaurant,Farm,Farmers Market
Beaumaris,"(-37.9822122, 145.0389098)",19.800984328617943,"1,559,500",Golf Course,Restaurant,Hostel,Supermarket,Cafe,Park,Gourmet Shop,Badminton Court,Gym / Fitness Center,Department Store
Alphington,"(-37.7783953, 145.0312823)",7.1976488027151655,"1,553,900",Gym / Fitness Center,Park,Athletics & Sports,Shopping Mall,Grocery Store,Gym,Bakery,Trailer Park,Cafe,Furniture / Home Store
Ashburton,"(-37.862047, 145.0812907)",11.675169761897367,"1,550,400",Cafe,Bakery,Supermarket,Movie Theater,Train Station,Japanese Restaurant,Coffee Shop,Restaurant,Bar,Pub
Warrandyte South,"(-37.7610033, 145.2373853)",24.866730542881946,"1,546,300",Park,Gym / Fitness Center,Cafe,Fish & Chips Shop,Grocery Store,Electronics Store,Bakery,Farmers Market,Thai Restaurant,Light Rail Station
Kangaroo Ground,"(-37.6918649, 145.2158904)",26.08574015565591,"1,539,200",Fast Food Restaurant,Grocery Store,Cafe,Middle Eastern Restaurant,Shopping Mall,Department Store,Sandwich Place,Pizza Place,Australian Restaurant,Supermarket
Sandringham,"(-37.950301, 145.0043875)",15.53380181306417,"1,533,400",Cafe,Bar,Grocery Store,Thai Restaurant,Supermarket,Bakery,Chocolate Shop,Vietnamese Restaurant,Pastry Shop,Pub
Carlton North,"(-37.7845585, 144.9728553)",3.4008637603871166,"1,528,500",Cafe,Bar,Italian Restaurant,Light Rail Station,Park,Middle Eastern Restaurant,Pub,Pizza Place,Coffee Shop,Gym
Ripponlea,"(-37.8777978, 144.9952778)",7.602102838392287,"1,520,400",Park,Cafe,Grocery Store,Light Rail Station,Italian Restaurant,Food Truck,Pub,Sandwich Place,Pizza Place,Burger Joint
Narre Warren East,"(-37.9627116, 145.361856)",38.75115637652553,"1,510,000",Gym / Fitness Center,Italian Restaurant,Grocery Store,Cafe,Massage Studio,Filipino Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Gardenvale,"(-37.8966425, 145.0041759)",9.834956789003133,"1,499,600",Pizza Place,Supermarket,Pharmacy,Fast Food Restaurant,Bowling Alley,Electronics Store,Dumpling Restaurant,Grocery Store,Cafe,Liquor Store
Port Melbourne,"(-37.8333613, 144.9219203)",4.206937873936496,"1,483,800",Cafe,Pub,French Restaurant,Japanese Restaurant,Fast Food Restaurant,Breakfast Spot,Liquor Store,Light Rail Station,Greek Restaurant,Lounge
Prahran,"(-37.8519135, 145.0005993)",5.3261432762759435,"1,482,800",Hotel,Bus Station,Business Service,Zoo Exhibit,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
Wonga Park,"(-37.735635, 145.26487465356428)",27.97545373981948,"1,452,100",Japanese Restaurant,Fast Food Restaurant,Pizza Place,Supermarket,Mobile Phone Shop,Burger Joint,Frozen Yogurt Shop,Snack Place,Grocery Store,Gas Station
McKinnon,"(-37.9109769, 145.0381437)",12.604648965732654,"1,419,900",Restaurant,Asian Restaurant,Seafood Restaurant,Pharmacy,Shopping Mall,Park,Gym,Supermarket,Hot Dog Joint,Farm
Caulfield South,"(-37.894699, 145.0249323)",10.457056073244589,"1,419,800",Cafe,Park,Thai Restaurant,Train Station,Video Store,Athletics & Sports,Tennis Court,Light Rail Station,Deli / Bodega,Italian Restaurant
Somerton,"(-37.634688, 144.9507961)",19.956012287066947,"1,414,300",Construction & Landscaping,IT Services,Outdoor Supply Store,Business Service,Home Service,Convenience Store,Cricket Ground,Event Space,Farm,Farmers Market
Parkville,"(-37.7871148, 144.9515533)",3.177165357816923,"1,410,000",Cafe,Shopping Mall,Bakery,Gourmet Shop,Train Station,Seafood Restaurant,Park,Thai Restaurant,Grocery Store,Ethiopian Restaurant
Templestowe,"(-37.7540588, 145.1486152)",17.64843318080088,"1,406,000",Cafe,Italian Restaurant,Coffee Shop,Bar,Wine Bar,Deli / Bodega,Vegetarian / Vegan Restaurant,Ice Cream Shop,Pub,Japanese Restaurant
Fitzroy North,"(-37.7833316, 144.9837074)",3.876413090544757,"1,405,700",Cafe,Pub,Bakery,Light Rail Station,Italian Restaurant,Wine Bar,Ice Cream Shop,Thai Restaurant,Gym,Australian Restaurant
Ormond,"(-37.9035653, 145.039503)",11.97836545902461,"1,402,100",Cafe,Bakery,Thai Restaurant,Korean Restaurant,Light Rail Station,Breakfast Spot,Supermarket,Asian Restaurant,Coffee Shop,Dumpling Restaurant
Glen Waverley,"(-37.8797175, 145.1629331)",19.026607491367162,"1,401,300",Hotel,Supermarket,Thai Restaurant,Ice Cream Shop,BBQ Joint,Portuguese Restaurant,Coffee Shop,Pizza Place,Sandwich Place,Pharmacy
South Melbourne,"(-37.8334603, 144.9570188)",2.203200132272215,"1,392,900",Beach,Cafe,Grocery Store,River,Train Station,Burger Joint,BBQ Joint,Pizza Place,Fish & Chips Shop,Field
Bentleigh,"(-37.9175354, 145.0369346)",13.177509709370598,"1,383,900",Grocery Store,Indian Restaurant,South Indian Restaurant,Thrift / Vintage Store,Fast Food Restaurant,Gas Station,Rock Climbing Spot,Food,Food & Drink Shop,Ethiopian Restaurant
Williamstown,"(-37.8611788, 144.8898569)",8.294896932286132,"1,374,700",Cafe,Pizza Place,Convenience Store,Light Rail Station,Gym,Pub,Fast Food Restaurant,Middle Eastern Restaurant,Greek Restaurant,Grocery Store
Yarrambat,"(-37.6375473, 145.1349293)",24.775238979403948,"1,371,400",Cafe,Italian Restaurant,Chinese Restaurant,Grocery Store,Asian Restaurant,Malay Restaurant,Fast Food Restaurant,Supermarket,Gym,Sandwich Place
Clifton Hill,"(-37.78887735, 144.99536265376906)",3.994166697529878,"1,366,200",Cafe,Chinese Restaurant,Bowling Green,Wine Shop,Gym,Train Station,Middle Eastern Restaurant,Coffee Shop,Vietnamese Restaurant,Supermarket
Burnley,"(-37.82762235, 145.0080911963464)",4.2264630619273325,"1,346,400",Cafe,Burger Joint,Grocery Store,Gym,Light Rail Station,Fish & Chips Shop,Other Great Outdoors,Middle Eastern Restaurant,Miscellaneous Shop,Bakery
Ivanhoe,"(-37.768844, 145.0455919)",8.836206004848009,"1,342,100",Furniture / Home Store,Fast Food Restaurant,Japanese Restaurant,Steakhouse,Athletics & Sports,Garden Center,Cafe,Mexican Restaurant,Shopping Mall,Paper / Office Supplies Store
Richmond,"(-37.8203955, 145.0025153)",3.532353962141858,"1,331,300",Cafe,Middle Eastern Restaurant,Bus Stop,Gift Shop,Seafood Restaurant,Thai Restaurant,Train Station,Liquor Store,Chinese Restaurant,Harbor / Marina
Blackburn,"(-37.82008355, 145.15002117835627)",16.465948502871694,"1,329,600",Gym,Bakery,Grocery Store,Pizza Place,Martial Arts Dojo,Field,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
Essendon,"(-37.755962999999994, 144.91617790401142)",7.6769214073285985,"1,328,500",Fast Food Restaurant,Cafe,Coffee Shop,Golf Course,Electronics Store,Bakery,Department Store,Boutique,Gym,Sandwich Place
Northcote,"(-37.77308, 145.01032454775785)",6.172885530361909,"1,320,900",Women's Store,Wine Shop,Farmers Market,Home Service,Zoo Exhibit,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
Aspendale,"(-38.0272365, 145.1021263)",26.614635855425426,"1,312,900",Fast Food Restaurant,Supermarket,Shopping Mall,Pharmacy,Seafood Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
Murrumbeena,"(-37.8901845, 145.067335)",12.456004474762645,"1,307,300",Cafe,Asian Restaurant,Convenience Store,Concert Hall,Falafel Restaurant,Pet Store,Dumpling Restaurant,Chinese Restaurant,Electronics Store,Malay Restaurant
St Kilda East,"(-37.8668218, 145.0021657)",6.773347665374067,"1,302,300",Park,Child Care Service,Sporting Goods Shop,Kitchen Supply Store,Zoo Exhibit,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market
Sherbrooke,"(-37.8884448, 145.3593565)",35.82904248790928,"1,299,300",Cafe,Pizza Place,Bar,Gastropub,Furniture / Home Store,Park,Pub,Coffee Shop,Convenience Store,Pharmacy
Narre Warren North,"(-38.001964799999996, 145.29460057822536)",35.830624068341606,"1,298,600",Cafe,Middle Eastern Restaurant,Supermarket,Coffee Shop,Gym,Bakery,Turkish Restaurant,Thai Restaurant,Liquor Store,Park
Moonee Ponds,"(-37.765575, 144.9212864)",6.5385858297555535,"1,292,600",Cafe,Market,Train Station,Drive-in Theater,Gas Station,Light Rail Station,Track,Field,Event Service,Event Space
Panton Hill,"(-37.642995, 145.2466058759542)",31.392934599245358,"1,288,000",Athletics & Sports,Zoo Exhibit,Fish Market,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant
Mount Waverley,"(-37.8752637, 145.1281258)",16.02292760224664,"1,286,600",Cafe,Bar,Pub,Cocktail Bar,Japanese Restaurant,Thai Restaurant,Pizza Place,Gastropub,Coffee Shop,Bakery
Box Hill South,"(-37.8366236, 145.1233644)",14.321937313801465,"1,283,800",Convenience Store,Turkish Restaurant,Park,Coffee Shop,Fish & Chips Shop,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Preston West,"(-37.721400349999996, 145.0099893570872)",11.097507794238071,"1,283,600",Shopping Mall,Gym,Italian Restaurant,Train Station,Seafood Restaurant,Liquor Store,Chinese Restaurant,Grocery Store,Farm,Egyptian Restaurant
St Kilda,"(-37.8638261, 144.981637)",5.741380558783921,"1,245,700",Athletics & Sports,Cafe,Shopping Mall,Pizza Place,Skate Park,Grocery Store,Sandwich Place,Video Store,Discount Store,Bar
Carlton,"(-37.8004228, 144.9684343)",1.6000006479086166,"1,235,900",Cafe,Shopping Mall,Grocery Store,Zoo Exhibit,Filipino Restaurant,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Donvale,"(-37.7898094, 145.1914915)",20.290312024405946,"1,235,200",Supermarket,Burger Joint,Thai Restaurant,Bakery,Food Truck,Food Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Mont Albert North,"(-37.8033152, 145.1107226)",13.050521332457581,"1,233,800",Shopping Mall,Grocery Store,American Restaurant,Video Store,Fast Food Restaurant,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant
Carnegie,"(-37.886029, 145.0581271)",11.549369060291436,"1,227,900",Fast Food Restaurant,Chinese Restaurant,Cafe,Grocery Store,Supermarket,Convenience Store,Portuguese Restaurant,Theater,Shopping Mall,Park
Bulleen,"(-37.7663109, 145.12128101475844)",14.908052643500922,"1,219,000",Pizza Place,Park,Food Truck,Grocery Store,Chinese Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
