Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Rothwell,"(-27.215019, 153.0571941)",28.33668020429303,"446,600",Locksmith,Pool,Automotive Shop,Bakery,Dog Run,Farmers Market,Farm,Fabric Shop,Event Service,Electronics Store
Pinkenba,"(-27.4221287, 153.1197445)",10.838470599772176,"435,500",Thrift / Vintage Store,Business Service,Fast Food Restaurant,Doctor's Office,Farm,Fabric Shop,Event Service,Electronics Store,Dog Run,Wings Joint
Strathpine,"(-27.3099861, 152.9905347)",17.915945852703715,"430,700",Cafe,Vegetarian / Vegan Restaurant,Bakery,Electronics Store,Fast Food Restaurant,Fabric Shop,Bus Station,Japanese Restaurant,Italian Restaurant,Supermarket
Dakabin,"(-27.2276653, 152.9848502)",27.010626815465606,"421,400",Park,Dog Run,Cafe,Beach,Doctor's Office,Farm,Fabric Shop,Event Service,Electronics Store,Wings Joint
Bethania,"(-27.6918376, 153.1561448)",27.95484616164323,"399,400",Pub,Bakery,Wings Joint,Doctor's Office,Farm,Fabric Shop,Event Service,Electronics Store,Dog Run,Diner
Fernvale,"(-27.4561674, 152.652785)",36.67086764903057,"372,900",Pizza Place,Restaurant,Shopping Mall,Fish & Chips Shop,Gas Station,Electronics Store,Dog Run,Doctor's Office,Discount Store,Wings Joint
Coochiemudlo Island,"(-27.569291149999998, 153.33356633360756)",32.58792978350988,"335,900",Warehouse Store,Fish & Chips Shop,Indian Restaurant,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Deli / Bodega,Doctor's Office
Redbank Plains,"(-27.6513182, 152.8479458)",26.625022046894703,"333,100",Sandwich Place,Grocery Store,Pharmacy,Pet Store,Furniture / Home Store,Wings Joint,Electronics Store,Dog Run,Doctor's Office,Discount Store
Beenleigh,"(-27.717486, 153.204506)",32.82914105576931,"322,200",Park,Harbor / Marina,Pier,Beach,Cafe,Seafood Restaurant,Coffee Shop,Train Station,BBQ Joint,Fast Food Restaurant
Raceview,"(-27.6360785, 152.7773823)",30.55778887755908,"320,000",Asian Restaurant,Gym,IT Services,Coffee Shop,Farmers Market,Fish & Chips Shop,Supermarket,Indian Restaurant,Pizza Place,Bakery
Brendale,"(-27.3179887, 152.9816204)",17.235134455524133,"303,300",Fast Food Restaurant,Grocery Store,Cafe,Supermarket,Pizza Place,Big Box Store,Coffee Shop,Paper / Office Supplies Store,Portuguese Restaurant,Sandwich Place
Blackstone,"(-27.6306942, 152.8050166)",28.050352991568875,"301,600",Asian Restaurant,Japanese Restaurant,Korean Restaurant,Chinese Restaurant,Cafe,Shopping Mall,Bus Station,Grocery Store,Burger Joint,Fast Food Restaurant
Ebbw Vale,"(-27.6070787, 152.8252297)",24.85520723995069,"295,000",Cafe,Fast Food Restaurant,Department Store,Supermarket,Coffee Shop,Pizza Place,Laundromat,Bus Stop,Fabric Shop,Sandwich Place
Moores Pocket,"(-27.5996399, 152.785415)",27.618472021837764,"279,800",Park,Asian Restaurant,Bakery,Pub,Pizza Place,Bus Station,Cafe,Coffee Shop,Chinese Restaurant,Cocktail Bar
Goodna,"(-27.6113146, 152.8949144)",20.25161259534509,"269,000",Park,Seafood Restaurant,Bowling Green,Pub,Fish & Chips Shop,Bus Station,Cafe,Deli / Bodega,Pier,Diner
Basin Pocket,"(-27.6004003, 152.7713677)",28.85163836415369,"239,600",Gym,Cafe,Liquor Store,Park,Supermarket,Pharmacy,Pizza Place,Bus Station,Pub,Shopping Mall
Lamb Island,"(-27.624130649999998, 153.37980119434394)",39.167778992938864,"149,100",Convenience Store,Park,Train Station,Electronics Store,Coffee Shop,Dance Studio,Pharmacy,Pizza Place,Cafe,Playground
