Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Greenwich,Greenwich  Australia,"2,573,100","(-33.8300104, 151.1855621)",3.968014292119881
Balmain East,Balmain East  Australia,"2,572,700","(-33.8571789, 151.192354)",2.2455655611959315
North Willoughby,North Willoughby  Australia,"2,540,000","(-33.7941912, 151.2004163)",6.8863705964852615
Randwick,Randwick  Australia,"2,513,000","(-33.94585945, 151.24275411853012)",10.387476331942313
Pymble,Pymble  Australia,"2,511,800","(-33.7450185, 151.1424708)",13.973272308442187
North Curl Curl,North Curl Curl  Australia,"2,502,500","(-33.7630002, 151.2904773)",12.275647234087202
Balgowlah Heights,Balgowlah Heights  Australia,"2,492,000","(-33.807495, 151.2649923)",6.909218949548155
Seaforth,Seaforth  Australia,"2,488,100","(-33.7910792, 151.2430284)",7.485429311181457
Bondi Beach,Bondi Beach  Australia,"2,483,500","(-33.8906977, 151.2724119)",6.530372440294881
Curl Curl,Curl Curl  Australia,"2,432,800","(-33.7698341, 151.2898175)",11.618501673563788
Rhodes,Rhodes  Australia,"2,427,800","(-33.8290589, 151.0873578)",12.28536251519922
Burraneer,Burraneer  Australia,"2,410,900","(-34.0644603, 151.1377905)",24.36427451717156
Chatswood,Chatswood  Australia,"2,409,200","(-33.7944797, 151.1818571)",7.419316147595992
Burwood,Burwood  Australia,"2,408,000","(-33.8858088, 151.10248109002006)",11.091532485273595
Willoughby,Willoughby  Australia,"2,404,400","(-33.801595649999996, 151.18365157555556)",6.638329002786378
Coogee,Coogee  Australia,"2,395,600","(-33.9217004, 151.2557975)",8.26351561657937
Freshwater,Freshwater  Australia,"2,381,900","(-33.7750987, 151.2844815)",10.855967055801377
Roseville Chase,Roseville Chase  Australia,"2,370,000","(-33.7747222, 151.2002778)",9.009249177593798
Artarmon,Artarmon  Australia,"2,339,600","(-33.8094124, 151.1857609)",5.782247378978636
Wollstonecraft,Wollstonecraft  Australia,"2,338,700","(-33.8332039, 151.1959273)",3.0587072522333267
Paddington,Paddington  Australia,"2,311,400","(-33.8841572, 151.2272766)",3.405131706882316
Neutral Bay,Neutral Bay  Australia,"2,305,000","(-33.8342887, 151.2182049)",2.2826064533972468
Connells Point,Connells Point  Australia,"2,297,600","(-33.9869476, 151.0942725)",18.505466915007716
Fairlight,Fairlight  Australia,"2,287,700","(-33.7938789, 151.2741471)",8.614542162771311
Greenhills Beach,Greenhills Beach  Australia,"2,274,200","(-34.0360657, 151.1632914)",20.696467686235696
Kemps Creek,Kemps Creek  Australia,"2,273,300","(-33.8971689, 150.8004576)",38.7731080220966
Banksmeadow,Banksmeadow  Australia,"2,270,000","(-33.9542459, 151.2157073)",11.029079857921207
Kenthurst,Kenthurst  Australia,"2,253,900","(-33.6436678, 150.9761716)",32.31345355342909
Gordon,Gordon  Australia,"2,245,900","(-33.7553899, 151.1518099)",12.547909865870345
Cottage Point,Cottage Point  Australia,"2,226,300","(-33.6195161, 151.203318)",26.127250478590945
Clareville,Clareville  Australia,"2,200,900","(-33.6320071, 151.3145323)",26.331484345709683
Cammeray,Cammeray  Australia,"2,200,800","(-33.8222738, 151.2139868)",3.616746429544977
Crows Nest,Crows Nest  Australia,"2,197,600","(-33.8255649, 151.2036095)",3.4554347442982167
Edgecliff,Edgecliff  Australia,"2,185,500","(-33.8797692, 151.2361116)",3.3119957918222878
Lane Cove West,Lane Cove West  Australia,"2,180,300","(-33.8119396, 151.150078)",7.76962914722203
Maroubra,Maroubra  Australia,"2,132,300","(-33.9453441, 151.2456824)",10.399013731269054
Dolans Bay,Dolans Bay  Australia,"2,130,000","(-34.0644424, 151.1282277)",24.6406084996198
Avalon,Avalon  Australia,"2,126,200","(-33.6365039, 151.3290299)",26.365881107716035
Birchgrove,Birchgrove  Australia,"2,122,500","(-33.8507685, 151.1830352)",3.1251057796560002
Kyle Bay,Kyle Bay  Australia,"2,117,200","(-33.9897577, 151.0992166)",18.481361698962893
North Turramurra,North Turramurra  Australia,"2,116,200","(-33.6911595, 151.1519372)",19.11090221666953
Kingsford,Kingsford  Australia,"2,115,200","(-33.9215922, 151.2272307)",7.4736618127539005
Naremburn,Naremburn  Australia,"2,104,300","(-33.8171309, 151.2020304)",4.388007339716254
Drummoyne,Drummoyne  Australia,"2,103,900","(-33.8520678, 151.153689)",5.8164525890357135
Middle Dural,Middle Dural  Australia,"2,097,000","(-33.6367412, 151.0127369)",30.68203058757791
Rodd Point,Rodd Point  Australia,"2,076,600","(-33.8658359, 151.143583)",6.853056353874662
St Ives Chase,St Ives Chase  Australia,"2,076,200","(-33.7030556, 151.1652778)",17.487653691158126
Lane Cove,Lane Cove  Australia,"2,074,400","(-33.8232026, 151.16971557595508)",5.5686814361079575
North Balgowlah,North Balgowlah  Australia,"2,041,700","(-33.7881457, 151.2507285)",8.04699002407394
Wareemba,Wareemba  Australia,"2,032,100","(-33.8575001, 151.1319513)",7.825555116391477
Malabar,Malabar  Australia,"2,023,200","(-33.9629779, 151.2480171)",12.347441740410249
Wahroonga,Wahroonga  Australia,"1,986,300","(-33.720367, 151.1142463)",17.663401499179425
St Ives,St Ives  Australia,"1,979,100","(-33.7258869, 151.1727212)",14.863068675349481
Lane Cove North,Lane Cove North  Australia,"1,976,800","(-33.8059265, 151.1617117)",7.4218999378246036
Avalon Beach,Avalon Beach  Australia,"1,972,200","(-33.6365039, 151.3290299)",26.365881107716035
Haberfield,Haberfield  Australia,"1,967,200","(-33.8794325, 151.1391605)",7.655345974788562
Balgowlah,Balgowlah  Australia,"1,966,800","(-33.7944424, 151.2608261)",7.8560344912414095
Cronulla,Cronulla  Australia,"1,963,300","(-34.0575259, 151.1523851)",23.251724871000853
North Manly,North Manly  Australia,"1,958,400","(-33.7729035, 151.2707221)",10.382377387070036
Bayview,Bayview  Australia,"1,952,100","(-33.6576847, 151.2866735)",22.812683989332072
Glebe,Glebe  Australia,"1,951,700","(-33.8777782, 151.1862377)",3.7820855054675913
Cecil Park,Cecil Park  Australia,"1,946,600","(-33.8922547, 150.8135524)",37.507611551495685
Burwood Heights,Burwood Heights  Australia,"1,936,600","(-33.8894444, 151.1038889)",11.100562902728054
Turramurra,Turramurra  Australia,"1,935,200","(-33.7354346, 151.1300645)",15.470701321062913
Middle Cove,Middle Cove  Australia,"1,928,700","(-33.7927992, 151.2112471)",6.895688660825868
Yowie Bay,Yowie Bay  Australia,"1,926,800","(-34.0502778, 151.1033333)",24.07073912719114
Abbotsford,Abbotsford  Australia,"1,909,100","(-33.8505529, 151.129759)",8.037009796955877
Collaroy Plateau,Collaroy Plateau  Australia,"1,900,100","(-33.7303841, 151.2910394)",15.433714482368428
Balmain,Balmain  Australia,"1,892,000","(-33.8583992, 151.1807353)",3.329202813992338
Maraylya,Maraylya  Australia,"1,884,000","(-33.5913984, 150.9221281)",39.97265875345995
Manly Vale,Manly Vale  Australia,"1,880,800","(-33.7830838, 151.2659938)",9.18369026781006
Concord West,Concord West  Australia,"1,876,400","(-33.843168, 151.0920563)",11.585006118951053
Bilgola,Bilgola  Australia,"1,873,800","(-33.6443165, 151.324484)",25.40325340923625
Russell Lea,Russell Lea  Australia,"1,864,100","(-33.8585361, 151.1416007)",6.939170493150924
Taren Point,Taren Point  Australia,"1,862,500","(-34.0200181, 151.1226751)",20.27204874086786
Killarney Heights,Killarney Heights  Australia,"1,852,100","(-33.7724836, 151.221976)",9.146496828699963
Concord,Concord  Australia,"1,850,000","(-33.8556716, 151.1067667)",10.151028613153931
Gladesville,Gladesville  Australia,"1,848,900","(-33.8275, 151.1263889)",8.869631623609463
Little Bay,Little Bay  Australia,"1,848,400","(-33.9834309, 151.2470329)",14.543659339188054
Church Point,Church Point  Australia,"1,843,400","(-33.6500957, 151.2853102)",23.586293225981894
Darlinghurst,Darlinghurst  Australia,"1,833,000","(-33.8783381, 151.219225)",2.621672895704881
Bondi Junction,Bondi Junction  Australia,"1,826,300","(-33.8930034, 151.2501228)",5.2579086271129105
Kogarah Bay,Kogarah Bay  Australia,"1,807,900","(-33.9816792, 151.1239702)",16.466848701716405
Rosebery,Rosebery  Australia,"1,804,300","(-33.9185861, 151.204692)",7.156629989653225
Annandale,Annandale  Australia,"1,798,200","(-33.881224, 151.1709976)",5.12545733598712
Dee Why,Dee Why  Australia,"1,786,900","(-33.7536635, 151.2899954)",13.124512026931832
Rozelle,Rozelle  Australia,"1,769,600","(-33.8645002, 151.1743543)",4.041133228552206
Chatswood West,Chatswood West  Australia,"1,765,300","(-33.7960029, 151.1597081)",8.375634091180547
Bella Vista,Bella Vista  Australia,"1,754,700","(-33.7416936, 150.9547183)",27.292620759161373
Oatley,Oatley  Australia,"1,754,500","(-33.9841882, 151.0743856)",19.455456780237125
Glenorie,Glenorie  Australia,"1,752,200","(-33.5658885, 150.9927835)",38.16922484601346
Canada Bay,Canada Bay  Australia,"1,744,500","(-33.84851275, 151.09758197601218)",11.023201200020003
East Ryde,East Ryde  Australia,"1,740,300","(-33.8097017, 151.1353884)",9.019356727216886
Phillip Bay,Phillip Bay  Australia,"1,736,000","(-33.9787887, 151.2327229)",13.833249492185937
Surry Hills,Surry Hills  Australia,"1,735,400","(-33.8845123, 151.2100301)",3.3471426414540315
Lilyfield,Lilyfield  Australia,"1,734,900","(-33.8709879, 151.1616185)",5.381828821642537
Chifley,Chifley  Australia,"1,733,300","(-33.9702813, 151.2394867)",12.983457337055569
Pleasure Point,Pleasure Point  Australia,"1,730,000","(-33.9725, 150.9877778)",24.851872157632517
Bilgola Plateau,Bilgola Plateau  Australia,"1,725,100","(-33.6438092, 151.315858)",25.151445105493178
Dural,Dural  Australia,"1,723,000","(-33.6876398, 151.0267199)",25.548605059034628
Elanora Heights,Elanora Heights  Australia,"1,719,600","(-33.6994613, 151.2750587)",18.066440515923414
North Wahroonga,North Wahroonga  Australia,"1,711,600","(-33.7024148, 151.1283034)",18.772632039726073
Beecroft,Beecroft  Australia,"1,709,400","(-33.7497631, 151.0657475)",18.180276314579462
Stanmore,Stanmore  Australia,"1,702,200","(-33.8936689, 151.1656456)",6.377332417098416
Huntleys Cove,Huntleys Cove  Australia,"1,699,200","(-33.8383333, 151.1375)",7.532459995716
Narrabeen,Narrabeen  Australia,"1,693,500","(-33.7135699, 151.2978164)",17.384852874378776
Pagewood,Pagewood  Australia,"1,684,800","(-33.936838, 151.2216943)",9.11085846821375
Five Dock,Five Dock  Australia,"1,680,700","(-33.8690024, 151.1290231)",8.241934978457245
Mona Vale,Mona Vale  Australia,"1,680,400","(-33.6769931, 151.3029577)",21.289492173089602
Denistone,Denistone  Australia,"1,677,300","(-33.7989066, 151.0887)",13.353696316365891
Eastwood,Eastwood  Australia,"1,674,700","(-33.79, 151.0844444)",14.178809823388852
West Pymble,West Pymble  Australia,"1,671,300","(-33.7646844, 151.1318993)",12.69793351830392
Allambie Heights,Allambie Heights  Australia,"1,668,100","(-33.7705067, 151.249675)",9.844329414385012
West Pennant Hills,West Pennant Hills  Australia,"1,664,800","(-33.7478359, 151.0350621)",20.565368336343923
Glenhaven,Glenhaven  Australia,"1,663,700","(-33.7027383, 151.0008049)",26.14388775348809
Forest Lodge,Forest Lodge  Australia,"1,657,800","(-33.8805556, 151.1783333)",4.537914068512636
South Turramurra,South Turramurra  Australia,"1,653,300","(-33.7510951, 151.1084667)",15.242769426142731
Sans Souci,Sans Souci  Australia,"1,647,800","(-33.9926292, 151.1337972)",17.09065246840743
Summer Hill,Summer Hill  Australia,"1,646,300","(-33.8933952, 151.1368729)",8.51611619718734
Brighton Le Sands,Brighton Le Sands  Australia,"1,645,100","(-33.9580947, 151.1526052)",12.888177761451786
North Ryde,North Ryde  Australia,"1,638,300","(-33.7975472, 151.127306)",10.414237410307146
North Strathfield,North Strathfield  Australia,"1,627,300","(-33.8588178, 151.088578)",11.841894850479093
Wheeler Heights,Wheeler Heights  Australia,"1,626,000","(-33.7286867, 151.2806965)",15.202564753876905
La Perouse,La Perouse  Australia,"1,622,300","(-33.9887589, 151.2318011)",14.92473442763756
Matraville,Matraville  Australia,"1,618,600","(-33.9639325, 151.2334198)",12.204598217099715
Belrose,Belrose  Australia,"1,612,200","(-33.730009, 151.2191438)",13.845630854028986
Petersham,Petersham  Australia,"1,609,500","(-33.8945061, 151.1554222)",7.160066324835664
Monterey,Monterey  Australia,"1,608,500","(-33.9720137, 151.1480392)",14.457578615195878
Kentlyn,Kentlyn  Australia,"1,608,300","(-34.0591667, 150.8697222)",39.25451181393164
Alexandria,Alexandria  Australia,"1,602,400","(-33.9091568, 151.1921281)",6.433938757057683
Forestville,Forestville  Australia,"1,600,100","(-33.7620891, 151.2150889)",10.285911873193976
Davidson,Davidson  Australia,"1,598,000","(-33.7398592, 151.1942222)",12.915960330777171
Beacon Hill,Beacon Hill  Australia,"1,596,500","(-33.751787, 151.2600828)",12.120892822034893
Blakehurst,Blakehurst  Australia,"1,589,300","(-33.9898519, 151.1085596)",17.996900280968692
